detector,heldout_family,train_n,test_n,test_failure_rate,threshold_from_train,train_best_f1,test_auc_roc,test_avg_precision,test_precision,test_recall,test_f1,test_fpr,tp,fp,fn,tn
ref_mmd_rbf,blue_channel_shift,4032,224,0.008928571428571428,0.075576901435852,0.9092137863891399,0.9662162162162162,0.3125,0.0,0.0,0.0,0.0,0,0,2,222
ref_mmd_rbf,compound,4088,168,1.0,0.075576901435852,0.9013398289764731,,,1.0,1.0,1.0,0.0,168,0,0,0
ref_mmd_rbf,compound_digital,4088,168,0.8630952380952381,0.075576901435852,0.9053696118286669,0.9553223388305847,0.9915649643077914,0.965034965034965,0.9517241379310345,0.9583333333333333,0.21739130434782608,138,5,7,18
ref_mmd_rbf,compound_field,4088,168,0.9583333333333334,0.075576901435852,0.9031318276138429,0.9866903283052352,0.9994319544830206,0.9813664596273292,0.9813664596273292,0.9813664596273292,0.42857142857142855,158,3,3,4
ref_mmd_rbf,compound_optical,4088,168,0.8928571428571429,0.0786760449409484,0.9056878944928142,0.9270370370370369,0.9909957382700014,0.9527027027027027,0.94,0.9463087248322148,0.3888888888888889,141,7,9,11
ref_mmd_rbf,contrast,4032,224,0.0,0.075576901435852,0.9090090085091966,,,0.0,0.0,0.0,0.004464285714285714,0,1,0,223
ref_mmd_rbf,defocus_blur,3976,280,0.8785714285714286,0.075576901435852,0.9017721513989824,0.9672405547584887,0.9954595095167108,0.9673469387755103,0.9634146341463414,0.9653767820773931,0.23529411764705882,237,8,9,26
ref_mmd_rbf,gaussian_blur,3920,336,0.9196428571428571,0.075576901435852,0.8971473431275702,0.9829797434975429,0.9984996788989237,0.977491961414791,0.9838187702265372,0.9806451612903226,0.25925925925925924,304,7,5,20
ref_mmd_rbf,gaussian_noise,4088,168,0.35714285714285715,0.075576901435852,0.9101824054111258,0.9726851851851852,0.9583199290296402,0.94,0.7833333333333333,0.8545454545454546,0.027777777777777776,47,3,13,105
ref_mmd_rbf,green_channel_shift,4032,224,0.03571428571428571,0.075576901435852,0.9139614069916026,0.9357638888888888,0.29707572832572837,0.17857142857142858,0.625,0.2777777777777778,0.10648148148148148,5,23,3,193
ref_mmd_rbf,illumination,4032,224,0.0,0.075576901435852,0.9088043228507885,,,0.0,0.0,0.0,0.0,0,0,0,224
